源编码,源名称,目标编码,目标名称,相似度得分,关系类型,LLM防坑口诀
5-05-99,其他农、林、牧、渔业生产辅助人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9827,POTENTIALLY_CONFUSED,[其他农、林、牧、渔业生产辅助人员]仅限农林牧渔辅助环节兜底；[其他农、林、牧、渔业生产及辅助人员]覆盖生产及辅助全领域兜底
6-20-99,其他通用设备制造人员,6-21-99,其他专用设备制造人员,0.9553,POTENTIALLY_CONFUSED,[其他通用设备制造人员]锅炉泵阀等通用机械制造兜底；[其他专用设备制造人员]矿山冶金等专用机械制造兜底
2-09-06-09,陈列展览设计人员,2-10-08-05,文物展陈专业人员,0.9499,POTENTIALLY_CONFUSED,[陈列展览设计人员]重设计安装，；[文物展陈专业人员]的对象是文物藏品（古代遗物）
2-02-30-11,供应链工程技术人员S,4-02-06-05,供应链管理师S,0.9494,POTENTIALLY_CONFUSED,[供应链工程技术人员S]建系统平台，；[供应链管理师S]管运作流程。
2-02-02-07,地理信息系统工程技术人员L/S,4-08-04-02,地理信息处理员L,0.9472,POTENTIALLY_CONFUSED,[地理信息系统工程技术人员L/S]侧重设计开发，；[地理信息处理员L]侧重数据录入维护。
2-10-08-01,考古专业人员,4-13-03-01,考古探掘工,0.9458,POTENTIALLY_CONFUSED,[考古专业人员]专业人员主导研究；[考古探掘工]探掘工执行具体挖掘
6-23-01-01,铁路机车制修工,6-30-02-06,铁路试验检测设备维修工,0.9457,POTENTIALLY_CONFUSED,[铁路机车制修工]修机车本身，；[铁路试验检测设备维修工]修检测机车的设备
2-05-07-14,心理治疗技师,2-07-11-03,心理咨询师,0.9439,POTENTIALLY_CONFUSED,[心理治疗技师]在医疗和预防保健机构，；[心理咨询师]在社区、社区服务机构和社会组
2-02-07-03,仪器仪表工程技术人员,6-31-01-04,仪器仪表维修工,0.9439,POTENTIALLY_CONFUSED,[仪器仪表工程技术人员]工程技术人员重研发设计；[仪器仪表维修工]维修工重维护修理
2-02-15-04,水上救助打捞工程技术人员,4-02-03-04,水上救生员,0.9438,POTENTIALLY_CONFUSED,[水上救助打捞工程技术人员]侧重工程打捞，；[水上救生员]侧重人命救助
3-01-99,其他行政办事及辅助人员,3-99-00,其他办事人员和有关人员,0.9427,POTENTIALLY_CONFUSED,[其他行政办事及辅助人员]均属兜底项；[其他办事人员和有关人员]范围重叠且定义模糊
2-02-38-07,虚拟现实工程技术人员S,4-04-05-11,虚拟现实产品设计师S,0.9421,POTENTIALLY_CONFUSED,[虚拟现实工程技术人员S]工程技术人员重开发维护；[虚拟现实产品设计师S]设计师重内容建模
2-06-12-09,版权运营专业人员,4-13-01-09,版权经纪人,0.9414,POTENTIALLY_CONFUSED,[版权运营专业人员]运营侧重资产管理；[版权经纪人]经纪侧重交易代理
6-21-05-01,拖拉机制造工,6-22-01-01,汽车生产线操作工,0.9413,POTENTIALLY_CONFUSED,[拖拉机制造工]看产品：拖拉机对汽车；[汽车生产线操作工]工艺流程几乎一致
2-03-06-01,兽医,5-05-02-03,动物疫病防治员,0.9407,POTENTIALLY_CONFUSED,[兽医]兽医主导诊疗检疫；[动物疫病防治员]防治员主攻执行免疫
6-09-03-03,陶瓷工艺品制作师,6-15-05-04,陶瓷装饰工,0.9398,POTENTIALLY_CONFUSED,[陶瓷工艺品制作师]制作师含成型；[陶瓷装饰工]装饰工仅限表面装饰
5-01-99,其他农业生产人员,5-03-99,其他畜牧业生产人员,0.9397,POTENTIALLY_CONFUSED,[其他农业生产人员]农业指种植；[其他畜牧业生产人员]畜牧业指养殖
6-24-01-00,电机制造工,6-31-01-07,电机检修工,0.9384,POTENTIALLY_CONFUSED,[电机制造工]制造是做新机；[电机检修工]检修是修旧机
6-21-04,电子专用设备装配调试人员,6-25-04,电子设备装配调试人员,0.9369,POTENTIALLY_CONFUSED,[电子专用设备装配调试人员]专用设备指设备本身；[电子设备装配调试人员]电子设备指产品
6-21-99,其他专用设备制造人员,6-26-99,其他仪器仪表制造人员,0.9361,POTENTIALLY_CONFUSED,[其他专用设备制造人员]设备重制造；[其他仪器仪表制造人员]仪表重精密测量
2-10-08-01,考古专业人员,4-13-03,考古及文物保护作业人员,0.935,POTENTIALLY_CONFUSED,[考古专业人员]专业人员主导研究；[考古及文物保护作业人员]作业人员执行操作
2-02-99,其他工程技术人员,2-99-00,其他专业技术人员,0.9331,POTENTIALLY_CONFUSED,[其他工程技术人员]工程技术人员侧重工程；[其他专业技术人员]专业技术人员范围更广
2-05-99,其他卫生专业技术人员,2-99-00,其他专业技术人员,0.9329,POTENTIALLY_CONFUSED,[其他卫生专业技术人员]是卫生领域，；[其他专业技术人员]是全行业通用。
6-21-01-02,工程机械装配调试工,6-31-01-09,工程机械维修工,0.9316,POTENTIALLY_CONFUSED,[工程机械装配调试工]装配是新机出厂；[工程机械维修工]维修是旧机修复
2-02-20-11,园林植物保护工程技术人员L,2-03-03-00,植物保护技术人员L,0.9311,POTENTIALLY_CONFUSED,[园林植物保护工程技术人员L]专攻园林景观，；[植物保护技术人员L]涵盖农业及全类植物。
4-01-05-03,出版物发行员,4-02-07-05,报刊业务员,0.9308,POTENTIALLY_CONFUSED,[出版物发行员]侧重全渠道发行，；[报刊业务员]侧重报刊零售分发。
2-02-02-04,地图制图工程技术人员S,4-08-03-03,地图绘制员,0.9301,POTENTIALLY_CONFUSED,[地图制图工程技术人员S]工程技术人员重设计研发；[地图绘制员]绘制员重操作执行
5-01-99,其他农业生产人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9295,POTENTIALLY_CONFUSED,[其他农业生产人员]仅限农业，；[其他农、林、牧、渔业生产及辅助人员]涵盖农林牧渔全行业。
4-02-02-01,客运车辆驾驶员L,4-10-08-02,汽车代驾员,0.9294,POTENTIALLY_CONFUSED,[客运车辆驾驶员L]客运运营运车，代驾开私家车；[汽车代驾员][汽车代驾员]为客户临时驾驶非营运机动车
6-15-08-01,人工合成晶体工,6-25-02-04,晶片加工工,0.9293,POTENTIALLY_CONFUSED,[人工合成晶体工]合成晶体器件，；[晶片加工工]生长晶锭切晶片
2-03-06-01,兽医,5-05-02-04,动物检疫检验员,0.9292,POTENTIALLY_CONFUSED,[兽医]兽医治病；[动物检疫检验员]检疫员查病出证
6-23-03,航空产品装配、调试人员,6-31-02-03,航空器部件修理工,0.9292,POTENTIALLY_CONFUSED,[航空产品装配、调试人员]装配侧重于新产品组装；[航空器部件修理工]修理侧重于维护修复
6-25-04-02,通信终端设备制造工,6-26-01-01,仪器仪表制造工,0.9284,POTENTIALLY_CONFUSED,[通信终端设备制造工]造通信终端，；[仪器仪表制造工]造通用仪器仪表
7-01-00-00,军官（警官）,7-02-00-00,军士（警士）,0.9281,POTENTIALLY_CONFUSED,[军官（警官）]官是管理层；[军士（警士）]士是执行层
7-01-00,军官（警官）,7-02-00-00,军士（警士）,0.9281,POTENTIALLY_CONFUSED,[军官（警官）]官是管理层；[军士（警士）]士是执行层
3-01-02-04,收发员,4-02-07,邮政和快递服务人员,0.9268,POTENTIALLY_CONFUSED,[收发员]收发员对内传递；[邮政和快递服务人员]邮政快递对外服务
6-20-02-03,汽轮机装配调试工,6-31-01-06,汽轮机和水轮机检修工,0.9267,POTENTIALLY_CONFUSED,[汽轮机装配调试工]装配侧重于新机制造；[汽轮机和水轮机检修工]检修侧重于维护修复
2-02-16-01,民用航空器维修与适航工程技术人员,6-31-02,船舶、航空器修理人员,0.9239,POTENTIALLY_CONFUSED,[民用航空器维修与适航工程技术人员]为工程技术研发，；[船舶、航空器修理人员]为基础维修操作
2-06-07-09,拍卖师,4-07-01-02,拍卖服务师,0.9237,POTENTIALLY_CONFUSED,[拍卖师]拍卖师主导拍卖；[拍卖服务师]服务师负责运营支持
2-09-06-06,工艺美术专业人员,6-09-03,工艺美术品制造人员,0.9234,POTENTIALLY_CONFUSED,[工艺美术专业人员]为设计研发，；[工艺美术品制造人员]为具体制作执行
6-04-99,其他纺织、针织、印染人员,6-05-99,其他纺织品、服装和皮革、毛皮制品加工制作人员,0.9227,POTENTIALLY_CONFUSED,[其他纺织、针织、印染人员]为原材料生产，；[其他纺织品、服装和皮革、毛皮制品加工制作人员]为成品加工。
6-21-99,其他专用设备制造人员,6-24-99,其他电气机械和器材制造人员,0.9225,POTENTIALLY_CONFUSED,[其他专用设备制造人员]专用设备看功能；[其他电气机械和器材制造人员]电气器材看电力
4-02-07-07,邮政市场业务员,4-04-01-02,信息通信业务员,0.9223,POTENTIALLY_CONFUSED,[邮政市场业务员]邮政侧重实物寄递；[信息通信业务员]通信侧重网络服务
5-01-99,其他农业生产人员,5-05-99,其他农、林、牧、渔业生产辅助人员,0.9218,POTENTIALLY_CONFUSED,[其他农业生产人员]从事种植、养殖等农业一线生产兜底；[其他农、林、牧、渔业生产辅助人员]从事农林牧渔的辅助性工作兜底
2-02-02-05,海洋测绘工程技术人员L/S,4-08-03-06,海洋测绘员L/S,0.9218,POTENTIALLY_CONFUSED,[海洋测绘工程技术人员L/S]技术人员重设计研究；[海洋测绘员L/S]测绘员重操作执行
2-05-08,护理人员,4-14-01,医疗辅助服务人员,0.9215,POTENTIALLY_CONFUSED,[护理人员]专业护理，；[医疗辅助服务人员]辅助照护
6-31-99,其他生产辅助人员,6-99-00,其他生产制造及有关人员,0.9207,POTENTIALLY_CONFUSED,[其他生产辅助人员]在制造人员大类之中做辅助性工作；[其他生产制造及有关人员]涵盖全行业生产制造及相关岗位的兜底项
6-09-04-03,健身器材制作工,6-19-01-01,工具五金制作工,0.9202,POTENTIALLY_CONFUSED,[健身器材制作工]做健身器材，；[工具五金制作工]做通用五金工具。
6-23-03-03,航空发动机装配工,6-31-02-04,航空发动机修理工,0.9201,POTENTIALLY_CONFUSED,[航空发动机装配工]装配与修理职责高度重合；[航空发动机修理工]极易混淆
2-02-31-01,产品质量检验工程技术人员,6-31-03,检验试验人员,0.92,POTENTIALLY_CONFUSED,[产品质量检验工程技术人员]工程技术员定标准；[检验试验人员]检验员执行检测
6-11-01-04,制冷工,6-29-03-05,制冷空调系统安装维修工,0.9196,POTENTIALLY_CONFUSED,[制冷工]是操作运行，；[制冷空调系统安装维修工]是安装维修。
1-03-00,民主党派和工商联负责人,1-04-01,人民团体和群众团体负责人,0.9188,POTENTIALLY_CONFUSED,[民主党派和工商联负责人]民主党派看党派；[人民团体和群众团体负责人]人民团体看工青妇
2-02-20-06,森林保护工程技术人员L,5-05-02-02,林业有害生物防治员L,0.9187,POTENTIALLY_CONFUSED,[森林保护工程技术人员L]为研发管理，；[林业有害生物防治员L]为一线操作
1-03-00,民主党派和工商联负责人,1-04-01-04,其他人民团体和群众团体负责人,0.9187,POTENTIALLY_CONFUSED,[民主党派和工商联负责人]管理民主党派及工商联组织事务；[其他人民团体和群众团体负责人]管理工青妇等其他人民群众团体
2-02-12-03,变电工程技术人员L,6-31-01-08,变电设备检修工,0.9186,POTENTIALLY_CONFUSED,[变电工程技术人员L]技术人员管规划设计；[变电设备检修工]检修工管动手拆装
6-26-01-01,仪器仪表制造工,6-31-01-04,仪器仪表维修工,0.9169,POTENTIALLY_CONFUSED,[仪器仪表制造工]制造重在组装生产；[仪器仪表维修工]维修重在故障排除
5-03-99,其他畜牧业生产人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9169,POTENTIALLY_CONFUSED,[其他畜牧业生产人员]仅限畜牧，；[其他农、林、牧、渔业生产及辅助人员]涵盖农林牧渔全行业
2-02-28-01,安全技术防范工程技术人员,4-07-05-04,安全防范系统安装维护员,0.9162,POTENTIALLY_CONFUSED,[安全技术防范工程技术人员]技术人员搞规划设计；[安全防范系统安装维护员]维护员搞安装维修
2-03-07-02,草业技术人员,4-09-10-02,草坪园艺师,0.916,POTENTIALLY_CONFUSED,[草业技术人员]技术人员重研发保护；[草坪园艺师]园艺师重建植养护
6-23-03-13,飞机外场调试与维护工,6-31-02-05,航空器外场维护员,0.9156,POTENTIALLY_CONFUSED,[飞机外场调试与维护工]的对象是飞机，；[航空器外场维护员]是航空器，航空器是飞机
2-03-06-03,宠物医师,4-10-07-01,宠物健康护理员,0.9154,POTENTIALLY_CONFUSED,[宠物医师]医师诊疗开药；[宠物健康护理员]护理员养护管理
2-04-02-02,轮机部技术人员,6-30-04-02,船舶机舱设备操作工,0.9154,POTENTIALLY_CONFUSED,[轮机部技术人员]技术人员偏管理协调；[船舶机舱设备操作工]操作工偏执行维护
6-01-99,其他农副产品加工人员,6-02-99,其他食品、饮料生产加工人员,0.9148,POTENTIALLY_CONFUSED,[其他农副产品加工人员]农副产品侧重原材；[其他食品、饮料生产加工人员]食品饮料侧重成品
5-03-99,其他畜牧业生产人员,5-05-99,其他农、林、牧、渔业生产辅助人员,0.9139,POTENTIALLY_CONFUSED,[其他畜牧业生产人员]生产人员主导生产；[其他农、林、牧、渔业生产辅助人员]辅助人员负责辅助
6-24-99,其他电气机械和器材制造人员,6-26-99,其他仪器仪表制造人员,0.9138,POTENTIALLY_CONFUSED,[其他电气机械和器材制造人员]电气看功率/动力；[其他仪器仪表制造人员]仪表看精度/测量
6-20-99,其他通用设备制造人员,6-24-99,其他电气机械和器材制造人员,0.9137,POTENTIALLY_CONFUSED,[其他通用设备制造人员]通用设备看机械；[其他电气机械和器材制造人员]电气器材看电路
2-06-07-07,医药代表,4-01-05-02,医药商品购销员,0.9135,POTENTIALLY_CONFUSED,[医药代表]侧重医药产品等推广和客户开发，；[医药商品购销员]主要是供销流程、合同履约等实际销售动作
5-04-99,其他渔业生产人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9131,POTENTIALLY_CONFUSED,[其他渔业生产人员]仅限渔业，；[其他农、林、牧、渔业生产及辅助人员]涵盖农林牧渔全行业
4-01-02-01,营销员,4-02-07-07,邮政市场业务员,0.9128,POTENTIALLY_CONFUSED,[营销员]通用营销对全行业；[邮政市场业务员]邮政业务员专攻邮政
2-06-11-07,基金专业人员,4-05-05,信托和资产管理服务人员,0.911,POTENTIALLY_CONFUSED,[基金专业人员]是咨询人员，；[信托和资产管理服务人员]从事直接的业务服务
2-10-08,考古及文物保护专业人员,4-13-03,考古及文物保护作业人员,0.911,POTENTIALLY_CONFUSED,[考古及文物保护专业人员]从事文物保管、陈列和研究；[考古及文物保护作业人员]从事文物修复、复制和拓印作业
1-01-00-01,中国共产党机关负责人,1-02-03,人民政协机关负责人,0.9109,POTENTIALLY_CONFUSED,[中国共产党机关负责人]在中共中央和地方各级党委机关担任领导；[人民政协机关负责人]在各级人民政协及其工作机构中担任领导
1-01-00,中国共产党机关和基层组织负责人,1-02-03,人民政协机关负责人,0.9109,POTENTIALLY_CONFUSED,[中国共产党机关和基层组织负责人]在党的中央和地方各级机关担任领导职务；[人民政协机关负责人]在各级人民政协及其工作机构
6-01-03,制糖人员,6-02-02,糖制品加工人员,0.9107,POTENTIALLY_CONFUSED,[制糖人员]在党的中央和地方各级机关担任领导职务；[糖制品加工人员]在各级人民政协及其工作机构中担任领导
5-04-99,其他渔业生产人员,5-05-99,其他农、林、牧、渔业生产辅助人员,0.9107,POTENTIALLY_CONFUSED,[其他渔业生产人员]从事渔业捕捞、养殖等一线生产兜底；[其他农、林、牧、渔业生产辅助人员]从事农林牧渔的辅助性工作兜底
6-18-01-02,铣工,6-20-01-03,齿轮制造工,0.9106,POTENTIALLY_CONFUSED,[铣工]铣工加工平面曲面；[齿轮制造工]齿轮工专攻齿形
5-02-99,其他林业生产人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9103,POTENTIALLY_CONFUSED,[其他林业生产人员]仅限林业，；[其他农、林、牧、渔业生产及辅助人员]涵盖农林牧渔全行业
5-05-06-01,园艺产品加工工,6-01-06-00,果蔬坚果加工工,0.9099,POTENTIALLY_CONFUSED,[园艺产品加工工]加工花卉根茎叶，做腌渍脱水冷藏；[果蔬坚果加工工]加工果蔬坚果，做去壳烘干膨化
5-02-99,其他林业生产人员,5-05-99,其他农、林、牧、渔业生产辅助人员,0.9098,POTENTIALLY_CONFUSED,[其他林业生产人员]生产人员主业；[其他农、林、牧、渔业生产辅助人员]辅助人员主辅
2-02-02-01,大地测量工程技术人员L/S,4-08-03-01,大地测量员L/S,0.9096,POTENTIALLY_CONFUSED,[大地测量工程技术人员L/S]技术人员重设计处理；[大地测量员L/S]测量员重外业操作
2-03-09,农业工程技术人员,5-05-05,农机化服务人员,0.9094,POTENTIALLY_CONFUSED,[农业工程技术人员]技术人员搞研发设计；[农机化服务人员]服务人员搞操作维修
2-06-08-02,人力资源服务专业人员,4-07-03,人力资源服务人员,0.9093,POTENTIALLY_CONFUSED,[人力资源服务专业人员]专业人员侧重第三方服务；[人力资源服务人员]服务人员含企业内部
3-01-03-02,劳动人事争议仲裁员,3-03-01-03,调解员,0.9093,POTENTIALLY_CONFUSED,[劳动人事争议仲裁员]仲裁员能裁决；[调解员]调解员仅能调解
2-03-99,其他农业技术人员,5-01-99,其他农业生产人员,0.9093,POTENTIALLY_CONFUSED,[其他农业技术人员]技术人员重研发管理；[其他农业生产人员]生产人员重体力劳动
2-09-04-03,美工师,4-07-07-02,装饰美工,0.9075,POTENTIALLY_CONFUSED,[美工师]是舞台造型设计，；[装饰美工]是会议与展览服务人员
7-01-00,军官（警官）,7-02-00,军士（警士）,0.9073,POTENTIALLY_CONFUSED,[军官（警官）]官为指挥管理；[军士（警士）]士为执行操作
7-01-00-00,军官（警官）,7-02-00,军士（警士）,0.9073,POTENTIALLY_CONFUSED,[军官（警官）]官为指挥管理；[军士（警士）]士为执行操作
2-02-16,民用航空工程技术人员,6-31-02,船舶、航空器修理人员,0.9069,POTENTIALLY_CONFUSED,[民用航空工程技术人员]侧重工程技术，；[船舶、航空器修理人员]侧重具体修理维护。
6-23-03,航空产品装配、调试人员,6-31-02-04,航空发动机修理工,0.9063,POTENTIALLY_CONFUSED,[航空产品装配、调试人员]只修航空发动机；[航空发动机修理工]覆盖航空发动机及其他航空产品的装配、调试。
6-18-02-02,锻造工,6-20-01-06,紧固件制造工,0.906,POTENTIALLY_CONFUSED,[锻造工]锻造工做大件成型；[紧固件制造工]紧固件工专攻螺丝螺母
6-10-01-08,石油产品精制工,6-11-02-12,芳香烃生产工,0.9049,POTENTIALLY_CONFUSED,[石油产品精制工]精制成品油，；[芳香烃生产工]生产芳香烃
6-09-04-03,健身器材制作工,6-19-01-05,日用五金制品制作工,0.9046,POTENTIALLY_CONFUSED,[健身器材制作工]对象限定为跑步机、力量器械等健身器材；[日用五金制品制作工]是
2-09-99,其他文学艺术、体育专业人员,2-10-99,其他新闻出版、文化专业人员,0.9045,POTENTIALLY_CONFUSED,[其他文学艺术、体育专业人员]文学艺术看创作；[其他新闻出版、文化专业人员]新闻出版看传播
2-03-02-00,农业技术指导人员,5-05-01-01,农业技术员,0.9039,POTENTIALLY_CONFUSED,[农业技术指导人员]指导人员偏咨询培训；[农业技术员]技术员偏现场示范
4-01-02-01,营销员,4-04-01-02,信息通信业务员,0.9031,POTENTIALLY_CONFUSED,[营销员]从事跨行业市场调查分析与商品推广；[信息通信业务员]专注信息通信领域客户开发与业务推广
1-01-00-02,中国共产党基层组织负责人,1-05-00,基层群众性自治组织负责人,0.9029,POTENTIALLY_CONFUSED,[中国共产党基层组织负责人]领导企事业单位中党组织的党务工作；[基层群众性自治组织负责人]在居委会和村委会中担任领导
2-02-02-03,摄影测量与遥感工程技术人员L/S,4-08-03-02,摄影测量员L/S,0.9019,POTENTIALLY_CONFUSED,[摄影测量与遥感工程技术人员L/S]负责方案设计、数据解译和成果验收；[摄影测量员L/S]负责采集、成图等具体作业
6-17-09-05,金属材热处理工,6-18-02-03,金属热处理工,0.9013,POTENTIALLY_CONFUSED,[金属材热处理工]材工侧重板卷连续处理；[金属热处理工]工工侧重单件加工
2-02-10-07,信息安全工程技术人员S,4-04-04-06,密码技术应用员S,0.9012,POTENTIALLY_CONFUSED,[信息安全工程技术人员S]侧重综合安全，；[密码技术应用员S]专注密码技术应用。
6-10-99,其他石油加工和炼焦、煤化工生产人员,6-11-99,其他化学原料和化学制品制造人员,0.9005,POTENTIALLY_CONFUSED,[其他石油加工和炼焦、煤化工生产人员]是限定在石油加工、炼焦、煤化工链条内的兜底项；[其他化学原料和化学制品制造人员]是其他化学原料和化学制品制造的兜底项。
6-02-05-01,味精制造工,6-12-05-02,发酵工程制药工,0.9004,POTENTIALLY_CONFUSED,[味精制造工]味精产食品；[发酵工程制药工]制药工产药品，看产出物
2-01-06-06,地球科学研究人员,2-02-01,地质勘探工程技术人员,0.9002,POTENTIALLY_CONFUSED,[地球科学研究人员]研究地球系统演化规律等科学问题；[地质勘探工程技术人员]为矿产、能源、水文等资源勘探开发提供工程技术。
2-02-30-03,战略规划与管理工程技术人员,2-06-01-01,经济规划专业人员,0.8998,POTENTIALLY_CONFUSED,[战略规划与管理工程技术人员]侧重工程技术与流程，；[经济规划专业人员]侧重经营资金计划
2-02-35-01,矫形器师,6-21-06,医疗器械制品和康复辅具生产人员,0.8997,POTENTIALLY_CONFUSED,[矫形器师]设计适配，[医疗器械制品和康复辅具生产人员]负责生产装配。[矫形器师]直面患者定方案；[医疗器械制品和康复辅具生产人员]是按图加工做生产。
4-10-99,其他居民服务人员,4-99-00,其他社会生产服务和生活服务人员,0.8996,POTENTIALLY_CONFUSED,[其他居民服务人员]是居民服务门类下的兜底项；[其他社会生产服务和生活服务人员]是整个4-01至4-14大类的总兜底项，辐射面更广。
3-02-03-07,森林火情瞭望观察员L,5-02-03-01,护林员L,0.8992,POTENTIALLY_CONFUSED,[森林火情瞭望观察员L]多在固定瞭望点观察、报告火情；[护林员L]要巡山护林，并兼顾资源保护和日常巡护。
6-29-03-02,电气设备安装工,6-31-01-10,机电设备维修工,0.8984,POTENTIALLY_CONFUSED,[电气设备安装工]安装重在初次部署；[机电设备维修工]维修重在运行维护
6-21-05-02,耕种机械制造工,6-22-01-01,汽车生产线操作工,0.8976,POTENTIALLY_CONFUSED,[耕种机械制造工]制造耕种施肥植保等农业机械；[汽车生产线操作工]在流水线上操作加工汽车
2-10-08-03,可移动文物保护专业人员,4-13-03-02,文物修复师,0.8974,POTENTIALLY_CONFUSED,[可移动文物保护专业人员]侧重研究方案，；[文物修复师]侧重动手修复
6-22-99,其他汽车制造人员,6-99-00,其他生产制造及有关人员,0.8965,POTENTIALLY_CONFUSED,[其他汽车制造人员]属汽车行业，；[其他生产制造及有关人员]属全行业通用
2-02-34-01,产品设计工程技术人员,4-08-08-26,工业设计工艺师S,0.896,POTENTIALLY_CONFUSED,[产品设计工程技术人员]侧重创意造型，；[工业设计工艺师S]侧重技术实现与验证
1-01-00-01,中国共产党机关负责人,1-02-02,国家行政机关负责人,0.8958,POTENTIALLY_CONFUSED,[中国共产党机关负责人]在中共中央和地方各级党委机关担任领导；[国家行政机关负责人]在各级政府及其工作机构中担任领导
